Year,Crop Type,Yield (tons per hectare),Soil Quality Score,Rainfall (mm/year),Temperature (°C)
2021,Soybean,1.76,7.25,1036.7,28.5
2022,Soybean,2.48,6.83,1471.7,22.3
2021,Soybean,0.7,4.62,684.4,22.1
2024,Soybean,3.12,5.74,1833.0,31.0
2022,Barley,3.48,7.16,1254.6,19.0
2020,Barley,2.21,6.48,1174.0,31.5
2022,Rice,5.13,9.91,1378.8,20.2
2024,Wheat,1.47,3.96,1437.2,18.2
2024,Soybean,1.43,7.87,607.7,21.3
2021,Rice,4.54,5.83,1523.9,29.1
2021,Wheat,1.87,6.0,862.9,13.2
2023,Corn,8.23,8.02,1570.9,14.9
2022,Barley,5.19,7.85,1733.8,33.8
2023,Wheat,4.46,9.94,1705.9,14.4
2024,Corn,2.05,3.9,1328.8,24.2
2021,Wheat,1.91,3.73,1280.3,24.5
2021,Barley,1.89,8.07,714.3,22.2
2021,Barley,4.44,7.05,1663.0,26.1
2020,Rice,2.02,4.92,907.1,15.7
2024,Soybean,0.87,3.56,1245.0,23.8
2021,Wheat,1.23,3.6,926.4,19.3
2024,Wheat,1.91,9.26,700.7,26.5
2021,Corn,3.05,4.34,1444.3,13.5
2022,Barley,1.02,5.26,581.5,24.3
2024,Wheat,1.97,4.59,1623.0,14.6
2023,Barley,1.57,5.48,976.4,17.0
2020,Wheat,0.69,3.49,500.2,15.5
2023,Rice,3.43,6.63,1266.7,14.6
2024,Soybean,0.39,3.47,570.3,30.6
2021,Wheat,2.5,8.6,914.3,17.1
2024,Barley,2.63,4.64,1560.5,33.2
2020,Rice,1.56,6.78,594.0,34.2
2024,Wheat,4.99,9.16,1759.0,24.3
2021,Corn,1.52,7.56,505.7,13.6
2023,Soybean,1.49,6.73,870.2,19.4
2022,Wheat,2.85,5.27,1611.4,29.9
2023,Rice,2.71,5.33,974.4,19.2
2021,Corn,3.34,7.69,652.8,12.2
2021,Rice,3.81,9.96,1040.4,23.9
2020,Rice,2.53,7.63,905.6,31.1
2024,Corn,4.87,6.9,1764.1,29.9
2024,Rice,3.03,8.11,970.0,14.4
2023,Corn,4.34,6.26,1683.4,26.8
2022,Wheat,1.85,3.42,1837.8,15.5
2022,Corn,3.32,6.94,1150.7,15.5
2020,Corn,9.71,9.7,1864.9,31.9
2021,Soybean,1.41,4.23,1066.0,16.2
2020,Corn,9.87,7.83,1946.1,16.6
2024,Corn,1.29,4.41,633.9,10.0
2021,Wheat,3.23,6.75,1530.5,31.8
2020,Soybean,1.35,3.68,1240.7,29.8
2023,Barley,2.14,6.15,1081.5,25.7
2024,Wheat,2.95,8.29,1449.1,28.8
2022,Wheat,2.08,5.43,1555.8,13.8
2020,Barley,1.43,7.65,506.5,21.5
2024,Corn,2.8,8.57,750.4,18.8
2024,Rice,7.4,9.49,1569.6,12.3
2022,Soybean,1.68,4.64,1499.6,22.2
2022,Rice,5.42,5.8,1949.1,33.0
2022,Barley,2.4,4.07,1641.6,11.0
2020,Wheat,5.89,9.95,1926.2,17.3
2022,Wheat,4.02,9.49,1553.8,15.2
2023,Soybean,1.27,6.78,947.1,16.0
2024,Wheat,1.66,8.89,658.0,32.7
2022,Wheat,2.84,6.65,1672.7,21.7
2024,Soybean,3.55,7.37,1466.2,21.7
2021,Soybean,0.56,3.62,572.3,29.0
2021,Barley,2.73,8.29,1040.1,13.9
2022,Wheat,2.88,3.89,1935.2,22.2
2024,Wheat,4.46,8.78,1250.6,20.7
2021,Barley,3.84,8.47,1149.1,24.9
2022,Corn,4.55,7.96,1186.5,35.0
2024,Corn,1.27,3.25,813.3,29.2
2022,Corn,3.5,5.12,1053.1,19.9
2024,Barley,1.63,4.84,1054.7,30.7
2021,Wheat,1.17,5.52,578.5,14.3
2022,Barley,1.82,3.61,1651.4,10.8
2021,Barley,3.89,9.56,1124.8,15.1
2022,Corn,6.16,6.88,1733.3,18.5
2020,Rice,3.16,5.14,1775.5,22.8
2021,Wheat,1.13,5.78,818.0,25.4
2021,Corn,3.87,6.13,1486.0,32.8
2023,Rice,4.08,7.2,1208.4,22.7
2021,Rice,3.63,6.61,1820.2,22.5
2024,Soybean,2.01,9.44,823.6,11.3
2022,Wheat,2.98,6.48,1516.7,10.9
2020,Rice,5.45,9.95,1411.6,23.8
2024,Corn,3.73,8.96,943.0,21.0
2024,Soybean,0.79,4.46,704.9,31.0
2024,Wheat,5.27,9.51,1477.5,14.0
2024,Barley,2.09,3.81,1607.9,10.6
2020,Corn,4.15,8.72,973.4,21.2
2023,Rice,4.2,5.66,1467.2,15.9
2021,Rice,4.34,9.15,1092.7,11.2
2024,Corn,6.23,9.08,1569.8,28.1
2021,Rice,2.69,8.64,798.8,12.8
2021,Soybean,5.05,8.53,1835.3,25.2
2024,Wheat,1.44,5.13,931.1,17.0
2023,Soybean,1.11,3.57,1051.7,14.3
2021,Rice,1.77,5.82,587.1,19.5
2022,Barley,1.06,4.21,667.3,30.0
2021,Wheat,2.84,7.86,1273.8,19.8
2024,Wheat,1.7,5.42,901.4,28.8
2020,Corn,8.72,9.83,1753.2,13.1
2021,Corn,1.99,7.49,522.0,29.3
2023,Barley,2.62,8.76,1068.6,15.9
2022,Wheat,1.52,3.93,1006.0,26.9
2022,Barley,1.58,9.03,529.0,24.1
2020,Corn,3.06,9.46,686.6,33.2
2020,Corn,3.99,6.41,1120.5,19.7
2021,Wheat,2.72,7.24,1239.3,11.7
2024,Soybean,2.56,8.35,1106.4,10.5
2023,Rice,2.78,4.22,1296.4,30.7
2022,Corn,5.74,6.52,1392.7,23.1
2020,Corn,1.4,5.79,514.9,29.4
2023,Soybean,1.04,4.02,1196.1,15.9
2024,Soybean,2.13,5.57,1945.2,18.6
2022,Barley,1.26,3.48,1278.5,10.8
2022,Barley,1.3,3.18,1516.3,34.0
2024,Rice,1.5,3.95,967.8,26.7
2022,Rice,8.14,9.74,1661.0,33.3
2024,Wheat,4.73,6.85,1659.4,16.6
2022,Barley,4.61,9.76,1281.9,25.3
2021,Corn,7.21,6.03,1964.0,27.0
2024,Barley,1.26,5.18,688.3,17.9
2023,Corn,1.68,6.54,525.4,31.2
2021,Soybean,2.23,6.08,1655.2,33.7
2023,Barley,2.34,3.74,1710.7,32.1
2022,Soybean,1.32,7.49,680.3,28.5
2023,Rice,1.54,4.51,898.4,16.9
2021,Rice,1.65,7.34,526.3,17.0
2024,Wheat,2.24,7.55,940.0,34.1
2020,Barley,2.25,4.06,1659.7,10.3
2023,Soybean,1.33,3.43,1276.9,27.9
2020,Corn,4.25,8.47,1022.1,27.7
2023,Rice,3.23,6.22,1057.6,25.6
2023,Rice,0.85,3.41,502.0,34.8
2024,Corn,4.99,9.96,949.7,17.8
2022,Soybean,1.04,3.4,1469.7,18.5
2021,Soybean,3.31,7.87,1961.3,12.0
2021,Barley,5.09,9.89,1770.6,21.1
2021,Barley,0.68,4.67,535.4,16.5
2022,Wheat,1.9,4.0,1847.8,18.6
2020,Rice,3.03,3.85,1674.8,30.9
2021,Barley,3.15,5.12,1670.6,33.4
2020,Soybean,1.14,3.71,1187.0,14.6
2022,Corn,4.11,7.85,1097.0,19.3
2022,Soybean,0.76,3.44,954.4,33.2
2024,Rice,1.67,6.57,598.5,11.5
2021,Soybean,1.7,9.98,842.4,12.3
2024,Wheat,2.44,8.7,869.9,14.1
2021,Rice,4.62,7.31,1226.1,24.9
2022,Corn,5.1,5.14,1621.2,13.8
2022,Wheat,2.4,7.37,1210.7,34.2
2023,Rice,1.77,6.69,586.8,21.2
2023,Corn,5.75,5.98,1936.7,22.5
2022,Wheat,3.0,3.91,1914.1,16.2
2022,Wheat,5.72,9.21,1677.8,21.8
2020,Rice,3.99,6.15,1987.0,26.5
2020,Barley,1.79,4.36,1316.7,28.8
2024,Wheat,4.25,5.57,1944.2,28.8
2023,Wheat,0.87,5.9,613.4,24.4
2023,Corn,3.88,8.79,1048.5,32.6
2022,Soybean,1.39,8.14,838.1,30.4
2022,Rice,3.28,8.39,793.7,28.9
2024,Rice,0.81,3.08,711.2,11.4
2023,Barley,3.09,5.91,1433.6,10.2
2020,Barley,3.29,6.37,1672.0,15.3
2021,Rice,1.55,3.13,1367.4,26.6
2024,Barley,1.04,4.82,720.4,20.3
2021,Corn,7.92,8.32,1716.7,20.1
2020,Rice,2.46,3.96,1453.9,32.1
2020,Barley,2.08,6.75,1082.2,32.4
2021,Rice,2.07,4.51,1511.2,32.7
2024,Soybean,0.62,3.08,889.9,17.8
2021,Wheat,1.51,4.69,1017.8,27.3
2024,Rice,9.46,9.83,1876.2,16.8
2024,Wheat,2.4,8.61,935.8,14.8
2022,Barley,3.22,9.72,1205.0,14.6
2023,Wheat,4.37,6.41,1835.2,18.6
2023,Rice,2.11,3.77,1561.6,20.7
2020,Soybean,0.9,6.84,593.3,30.8
2022,Barley,1.53,6.18,721.0,13.0
2023,Rice,1.82,8.91,511.8,28.4
2024,Barley,1.59,3.69,1446.4,23.3
2024,Corn,3.26,6.42,1171.5,17.2
2021,Wheat,0.82,4.05,701.4,22.3
2021,Corn,6.15,5.27,1936.9,17.5
2024,Rice,4.64,8.16,1294.5,24.9
2024,Soybean,1.54,6.33,862.8,20.8
2021,Barley,2.53,5.63,1250.9,14.1
2023,Wheat,3.41,5.76,1519.4,12.9
2020,Barley,1.46,6.22,614.4,23.7
2021,Rice,3.37,8.5,912.1,32.6
2023,Barley,6.2,9.24,1710.4,18.6
2023,Wheat,4.08,9.69,1189.5,28.3
2023,Rice,4.92,8.51,1319.9,26.5
2022,Barley,2.18,5.21,1149.2,33.3
2022,Soybean,0.88,7.82,565.8,30.5
2023,Rice,2.0,6.06,748.6,24.2
2024,Rice,2.18,4.78,1168.3,26.4
2022,Soybean,1.82,8.89,813.8,32.5
2021,Corn,0.88,3.27,575.0,20.0
2022,Wheat,6.96,9.31,1765.5,18.2
2024,Corn,5.62,6.23,1971.8,10.3
2020,Barley,4.86,7.46,1689.7,30.7
2022,Soybean,3.88,7.62,1780.7,30.0
2023,Corn,4.96,9.27,863.0,12.6
2023,Rice,4.8,7.46,1940.9,24.4
2023,Barley,1.81,7.3,795.4,21.6
2020,Barley,1.95,3.47,1927.1,13.0
2024,Corn,5.25,6.63,1992.2,34.5
2021,Corn,3.46,4.05,1567.6,15.4
2024,Soybean,3.13,8.16,1971.7,11.7
2020,Wheat,3.19,6.59,1354.3,24.9
2023,Corn,2.88,7.76,889.3,28.5
2024,Corn,1.65,3.29,1155.5,10.8
2021,Rice,2.16,3.59,1390.3,26.5
2023,Barley,1.72,8.01,609.6,23.3
2021,Wheat,1.49,3.5,1433.5,12.6
2022,Rice,2.26,3.5,1971.8,14.3
2021,Soybean,0.63,3.08,785.2,24.2
2023,Soybean,3.49,9.7,1688.9,17.4
2022,Corn,7.13,8.16,1861.8,33.5
2023,Corn,4.87,5.47,1915.6,30.5
2023,Soybean,3.14,5.08,1940.2,34.6
2022,Corn,3.0,5.45,1282.2,16.5
2021,Wheat,6.92,8.42,1966.0,34.2
2020,Corn,5.13,7.63,1636.0,20.8
2020,Barley,0.89,4.3,742.5,18.7
2020,Corn,3.16,4.22,1215.4,11.3
2020,Rice,2.6,3.69,1577.5,11.3
2024,Wheat,1.63,7.62,871.0,27.3
2020,Rice,3.96,8.35,1460.9,21.4
2022,Rice,3.27,4.86,1499.9,15.7
2020,Barley,0.76,3.15,744.0,25.3
2023,Wheat,1.55,3.58,1347.6,16.3
2020,Wheat,4.4,9.78,1657.4,24.4
2021,Wheat,1.83,5.07,1248.3,19.0
2022,Wheat,1.63,8.38,518.2,30.6
2022,Wheat,1.49,7.37,513.6,30.5
2024,Barley,2.21,5.67,1035.5,21.9
2023,Corn,3.83,4.44,1889.3,18.8
2022,Rice,1.32,3.85,843.0,19.1
2021,Wheat,4.48,7.31,1451.5,30.1
2020,Corn,2.85,8.42,833.1,18.2
2022,Corn,3.16,7.51,982.5,15.2
2021,Rice,3.6,6.71,1772.1,12.1
2020,Barley,1.89,3.29,1593.3,21.7
2024,Soybean,1.77,9.78,643.1,22.1
2022,Soybean,2.54,8.59,1143.1,31.0
2022,Corn,1.51,5.05,543.8,15.5
2021,Rice,5.25,9.86,1221.3,19.5
2023,Soybean,2.38,7.21,1493.7,30.2
2024,Corn,2.05,7.08,677.8,30.6
2023,Barley,2.06,8.24,933.3,19.6
2022,Soybean,2.52,8.68,1096.8,21.5
2023,Corn,7.25,7.6,1879.3,17.6
2020,Corn,3.42,3.9,1989.9,33.3
2024,Wheat,1.21,5.37,567.4,13.0
2023,Barley,4.9,9.5,1641.5,33.3
2020,Wheat,2.07,4.57,1057.6,27.1
2021,Rice,2.4,5.61,1088.7,23.3
2023,Wheat,2.7,6.02,1631.4,10.8
2024,Wheat,4.79,6.08,1877.6,21.9
2020,Soybean,3.57,7.29,1926.4,20.2
2023,Corn,6.52,9.6,1365.7,14.0
2021,Barley,1.72,4.68,1035.7,26.4
2023,Wheat,1.89,3.85,1681.3,34.3
2020,Barley,1.37,4.38,876.5,24.1
2023,Wheat,4.4,9.21,1346.1,27.9
2024,Rice,2.95,7.52,1037.9,11.7
2022,Wheat,2.11,5.0,1484.9,20.4
2020,Soybean,1.79,8.71,860.6,12.9
2020,Corn,3.01,9.03,787.4,25.3
2020,Rice,4.97,8.93,1877.4,33.5
2020,Wheat,2.37,9.43,652.7,26.5
2023,Barley,1.67,4.77,1258.9,11.9
2024,Rice,3.32,8.29,831.3,18.9
2021,Rice,1.23,6.22,558.4,23.8
2024,Wheat,1.68,8.89,554.0,20.1
2020,Rice,1.98,8.1,762.8,30.8
2023,Barley,4.98,8.44,1800.2,30.4
2023,Rice,2.12,7.59,923.7,25.3
2020,Barley,3.13,4.24,1925.7,19.3
2023,Wheat,3.32,6.82,1372.4,16.4
2020,Corn,6.97,9.89,1154.9,12.6
2024,Rice,5.16,9.56,1370.1,18.9
2022,Corn,2.11,3.3,1275.0,20.3
2023,Barley,1.93,4.15,1638.2,26.9
2020,Rice,1.12,3.92,923.7,26.5
2020,Soybean,2.43,8.08,1029.6,11.8
2023,Corn,8.84,8.72,1841.1,19.9
2021,Rice,3.9,4.49,1919.7,14.5
2020,Corn,6.35,6.54,1838.8,13.9
2023,Rice,4.89,8.88,1129.2,30.7
2020,Wheat,5.42,8.13,1670.5,11.0
